#l;m;n;k;Gflops
1;1000;1000;1000;1.18e+02
1;2000;2000;2000;1.18e+02
1;3000;3000;3000;1.22e+02
1;4000;4000;4000;1.17e+02
1;5000;5000;5000;1.26e+02
